session,condition,topic,assessment_language,topic_completeness,logic_composition,expressiveness,language_mastery,complexity,vocabulary_text_linking,language_constructs,assessment_quality
z829f0o2q6wb7in59s4xp8d6xpwhkzcg,ChatGPT-4,zoos should be banned,2,6,6,5,6,5,6,5,3
7m0e64i3izio38r6xchtiigf45pqo57b,ChatGPT-3,computer has negative effects to children,4,4,5,4,5,4,5,5,2
kxhdunah6ib3a2597w6f4ikbyukby99e,ChatGPT-4,Effects of mobile phones,3,5,5,4,6,5,6,5,3
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,ChatGPT-3,should all the advertisements be banned?,3,2,3,4,4,3,4,4,1
3abdtb3vc2w8k9u6k3bbajtd6szuifko,ChatGPT-3,Benefits of students doing extra jobs,4,3,1,1,1,2,1,2,2
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,ChatGPT-3,Financial Aid To Developing Countries,3,5,5,5,4,5,5,4,1
5sar2ewqwwbauto2piv4m8k7nlzbi0nv,Student,Young people should go to university or not,1,5,5,4,4,2,4,4,0
ovveu2pletq3xkjup4t2qmqe3u69ytcb,Student,International tourism is now more common than ever before (for),3,6,5,6,3,5,3,3,2
xea685r9fwrkuaugtc3aucspv34av5el,Student,Effects of mobile phones,5,2,1,1,2,2,2,3,3
urzb5uheinwspm5r00lot77vksy6a8l5,ChatGPT-4,Prepared Food,1,4,4,4,5,4,4,4,0
goy6fcxoim5ydlkiarbswih1qcqqca18,ChatGPT-3,Prepared Food,2,3,4,3,6,3,4,4,2
g0rntgh8sk4ehswu3iphviv8byk5bgad,ChatGPT-4,Influence Of Large Factory,4,6,6,6,6,6,5,5,3
l3e1dw5u4qyqqxikbnx4ojfwzz8zx20i,ChatGPT-3,Paying more money is the only motivation to make employees work harder,5,3,2,3,5,5,5,5,2
z829f0o2q6wb7in59s4xp8d6xpwhkzcg,Student,Prepared Food,2,5,5,4,3,4,4,3,3
6y89af5q9a9exs9tcc2lk9tphhn6oeh3,ChatGPT-3,Effects of mobile phones,3,5,5,4,6,4,5,5,3
4pk3owfwo13gmb1w2lq7wadkc9sjzb18,Student,Paying more money is the only motivation to make employees work harder,5,3,3,3,4,4,4,4,3
7m0e64i3izio38r6xchtiigf45pqo57b,ChatGPT-4,"Sporting events easing international tensions, releasing patriotic feelings",4,4,4,4,5,3,4,5,2
l3e1dw5u4qyqqxikbnx4ojfwzz8zx20i,Student,Society should ban all forms of the advertising,5,5,5,5,4,5,4,5,2
5sar2ewqwwbauto2piv4m8k7nlzbi0nv,ChatGPT-3,"Sporting events easing international tensions, releasing patriotic feelings",1,4,4,3,6,5,5,5,0
gzefi1rs5qm7904owyzotxhxc3ny9goh,Student,"Sporting events easing international tensions, releasing patriotic feelings",4,3,4,4,4,4,4,4,2
urzb5uheinwspm5r00lot77vksy6a8l5,ChatGPT-3,Government should make more effort to promote alternative sources of energy,1,4,4,4,4,4,4,4,0
gzefi1rs5qm7904owyzotxhxc3ny9goh,ChatGPT-3,Do married women usually work? Why and why not?,4,5,5,5,6,6,5,5,3
ovveu2pletq3xkjup4t2qmqe3u69ytcb,Student,Financial Aid To Developing Countries,3,6,4,5,3,4,5,4,1
5sar2ewqwwbauto2piv4m8k7nlzbi0nv,Student,Do married women usually work? Why and why not?,1,0,0,0,3,2,2,3,0
ovveu2pletq3xkjup4t2qmqe3u69ytcb,ChatGPT-4,Government should make more effort to promote alternative sources of energy,3,6,6,6,6,4,5,5,0
ovveu2pletq3xkjup4t2qmqe3u69ytcb,ChatGPT-3,International tourism is now more common than ever before (against),3,6,6,5,6,4,5,6,0
5sar2ewqwwbauto2piv4m8k7nlzbi0nv,ChatGPT-4,Should governments be responsible to help the unemployed and homeless,1,6,6,5,6,5,5,4,0
ru8on6nvucn5y660nt0o3epk27uuzkah,ChatGPT-4,Computer replace  man power in jobs,4,4,4,4,4,4,4,4,4
ru8on6nvucn5y660nt0o3epk27uuzkah,ChatGPT-4,Government And Education,4,2,2,2,2,2,2,2,3
ru8on6nvucn5y660nt0o3epk27uuzkah,ChatGPT-3,Living and studying overseas,4,4,4,4,4,4,4,4,3
ru8on6nvucn5y660nt0o3epk27uuzkah,ChatGPT-3,Why you should exercise,4,4,4,4,4,4,4,4,3
ru8on6nvucn5y660nt0o3epk27uuzkah,ChatGPT-3,Alternative forms of transport to alleviate traffic congestion,4,4,4,2,5,3,4,3,4
ru8on6nvucn5y660nt0o3epk27uuzkah,Student,Will newspapers become a thing of the past?,4,4,4,2,3,2,4,3,4
5sar2ewqwwbauto2piv4m8k7nlzbi0nv,Student,International tourism is now more common than ever before (against),1,3,3,2,4,3,3,3,0
5sar2ewqwwbauto2piv4m8k7nlzbi0nv,ChatGPT-4,Living and studying overseas,1,6,5,5,6,5,5,5,0
